State,Territory Abbreviation,Legality
ALABAMA,AL,Legal for medical use
ALASKA,AK,Legal for recreational use
AMERICAN SAMOA,AS,Illegal
ARIZONA,AZ,Legal for recreational use
ARKANSAS,AR,Legal for medical use
CALIFORNIA,CA,Legal for recreational use
COLORADO,CO,Legal for recreational use
CONNECTICUT,CT,Legal for recreational use
DELAWARE,DE,Legal for recreational use
DISTRICT OF COLUMBIA,DC,Legal for recreational use
FLORIDA,FL,Legal for medical use
GEORGIA,GA,Illegal
GUAM,GU,Legal for recreational use
HAWAII,HI,Legal for medical use & Decriminalized
IDAHO,ID,Illegal
ILLINOIS,IL,Legal for recreational use
INDIANA,IN,Illegal
IOWA,IA,Illegal
KANSAS,KS,Illegal
KENTUCKY,KY,Legal for medical use
LOUISIANA,LA,Legal for medical use & Decriminalized
MAINE,ME,Legal for recreational use
MARYLAND,MD,Legal for recreational use
MASSACHUSETTS,MA,Legal for recreational use
MICHIGAN,MI,Legal for recreational use
MINNESOTA,MN,Legal for medical use & Decriminalized
MISSISSIPPI,MS,Legal for medical use & Decriminalized
MISSOURI,MO,Legal for recreational use
MONTANA,MT,Legal for recreational use
NEBRASKA,NE,Illegal & Decriminalized
NEVADA,NV,Legal for recreational use
NEW HAMPSHIRE,NH,Legal for medical use & Decriminalized
NEW JERSEY,NJ,Legal for recreational use
NEW MEXICO,NM,Legal for recreational use
NEW YORK,NY,Legal for recreational use
NORTH CAROLINA,NC,Illegal & Decriminalized
NORTH DAKOTA,ND,Legal for medical use & Decriminalized
NORTHERN MARIANA IS,MP,Legal for recreational use
OHIO,OH,Legal for medical use & Decriminalized
OKLAHOMA,OK,Legal for medical use
OREGON,OR,Legal for recreational use
PENNSYLVANIA,PA,Legal for medical use
PUERTO RICO,PR,Legal for medical use
RHODE ISLAND,RI,Legal for recreational use
SOUTH CAROLINA,SC,Illegal
SOUTH DAKOTA,SD,Legal for medical use
TENNESSEE,TN,Illegal
TEXAS,TX,Illegal
UTAH,UT,Legal for medical use
VERMONT,VT,Legal for recreational use
VIRGINIA,VA,Legal for recreational use
VIRGIN ISLANDS,VI,Legal for recreational use
WASHINGTON,WA,Legal for recreational use
WEST VIRGINIA,WV,Legal for medical use
WISCONSIN,WI,Illegal
WYOMING,WY,Illegal